step,concurrency,calls,setup_success,ttfa_p50_ms,ttfa_p95_ms,ttfa_p99_ms,turn_latency_p95_ms,turns,turns_failed,p95_ratio,verdict
baseline,1,30,1.0000,877.1,2348.8,3688.2,6008.8,150,0,1.00,pass
c5,5,30,1.0000,869.5,1613.5,3156.5,6143.9,150,0,0.69,pass
c10,10,30,1.0000,856.0,1518.3,3156.0,5991.6,150,0,0.65,pass
c20,20,40,1.0000,852.0,1244.5,3232.7,5729.4,200,0,0.53,pass
c40,40,80,1.0000,870.5,1228.1,3157.7,5755.8,400,0,0.52,pass
