step,concurrency,calls,setup_success,ttfa_p50_ms,ttfa_p95_ms,ttfa_p99_ms,turn_latency_p95_ms,turns,turns_failed,p95_ratio,verdict
baseline,1,30,1.0000,828.7,3261.3,3558.0,6341.6,150,0,1.00,pass
c5,5,30,1.0000,848.9,1958.3,3420.7,5991.1,150,0,0.60,pass
c10,10,30,1.0000,851.1,3103.6,3392.2,6142.1,150,0,0.95,pass
c20,20,40,1.0000,828.1,3183.3,3414.2,6152.8,200,0,0.98,pass
c40,40,80,1.0000,922.2,3401.0,5096.4,6967.0,400,0,1.04,pass
