step,concurrency,calls,setup_success,ttfa_p50_ms,ttfa_p95_ms,ttfa_p99_ms,turn_latency_p95_ms,turns,turns_failed,p95_ratio,verdict
baseline,1,30,1.0000,847.5,1451.8,3133.5,5608.9,150,0,1.00,pass
c5,5,30,1.0000,839.5,3322.9,3418.4,6302.5,150,0,2.29,fail
c10,10,30,1.0000,832.7,1627.2,3380.3,5689.1,150,0,1.12,pass
c20,20,40,1.0000,838.1,3297.7,3403.7,6167.6,200,0,2.27,fail
c40,40,80,1.0000,901.6,3824.3,5567.8,7510.6,400,0,2.63,fail
