step,concurrency,calls,setup_success,ttfa_p50_ms,ttfa_p95_ms,ttfa_p99_ms,turn_latency_p95_ms,turns,turns_failed,p95_ratio,verdict
c2,2,6,1.0000,502.9,564.7,574.6,2564.7,30,0,1.00,pass
c8,8,16,1.0000,502.1,527.4,528.0,2527.4,80,0,0.93,pass
