step,concurrency,calls,setup_success,ttfa_p50_ms,ttfa_p95_ms,ttfa_p99_ms,turn_latency_p95_ms,turns,turns_failed,p95_ratio,verdict
baseline,2,2,1.0000,501.9,502.6,502.6,1502.6,8,0,1.00,pass
c8,8,8,1.0000,502.2,505.9,506.4,1506.4,32,0,1.01,pass
