step,concurrency,calls,setup_success,ttfa_p50_ms,ttfa_p95_ms,ttfa_p99_ms,turn_latency_p95_ms,turns,turns_failed,p95_ratio,verdict
baseline,1,2,1.0000,502.1,503.7,503.7,1503.7,8,0,1.00,pass
c5,5,5,1.0000,503.3,504.9,506.0,1507.4,20,0,1.00,pass
c10,10,10,1.0000,502.9,509.7,511.0,1509.7,40,0,1.01,pass
c25,25,25,1.0000,876.8,878.7,879.6,1878.7,100,0,1.74,warn
c50,50,50,1.0000,1502.0,1505.4,1505.6,2505.4,200,0,2.99,fail
