step,concurrency,calls,setup_success,ttfa_p50_ms,ttfa_p95_ms,ttfa_p99_ms,turn_latency_p95_ms,turns,turns_failed,p95_ratio,verdict
baseline,1,2,1.0000,502.3,522.6,522.6,1522.6,8,0,1.00,pass
c5,5,5,1.0000,503.8,511.8,511.8,1511.8,20,0,0.98,pass
c10,10,10,1.0000,502.7,505.9,507.4,1505.9,40,0,0.97,pass
c25,25,25,1.0000,877.7,882.0,886.6,1882.0,100,0,1.69,warn
c50,50,50,1.0000,1502.2,1509.5,1617.8,2519.9,200,0,2.89,fail
