step,concurrency,calls,setup_success,ttfa_p50_ms,ttfa_p95_ms,ttfa_p99_ms,turn_latency_p95_ms,turns,turns_failed,p95_ratio,verdict
baseline,1,2,1.0000,503.0,510.0,510.0,1510.0,8,0,1.00,pass
c5,5,5,1.0000,503.5,508.7,514.9,1508.7,20,0,1.00,pass
c10,10,10,1.0000,502.0,548.7,556.4,1559.4,40,0,1.08,pass
c25,25,25,1.0000,878.1,905.8,914.5,1905.8,100,0,1.78,warn
c50,50,50,1.0000,1503.3,1520.9,1577.9,2520.9,200,0,2.98,fail
