step,concurrency,calls,setup_success,ttfa_p50_ms,ttfa_p95_ms,ttfa_p99_ms,turn_latency_p95_ms,turns,turns_failed,p95_ratio,verdict
baseline,1,2,1.0000,502.5,504.1,504.1,1504.1,8,0,1.00,pass
c5,5,5,1.0000,505.5,522.3,522.3,1522.3,20,0,1.04,pass
c10,10,10,1.0000,503.4,513.3,520.6,1513.3,40,0,1.02,pass
c25,25,25,1.0000,878.8,908.7,1001.9,1937.4,100,0,1.80,warn
c50,50,50,1.0000,1502.8,1535.8,1690.4,2649.9,200,0,3.05,fail
