step,concurrency,calls,setup_success,ttfa_p50_ms,ttfa_p95_ms,ttfa_p99_ms,turn_latency_p95_ms,turns,turns_failed,p95_ratio,verdict
baseline,1,30,1.0000,748.3,3503.7,5526.1,9165.5,120,0,1.00,pass
c5,5,30,1.0000,745.4,3558.0,5551.9,9214.7,120,0,1.02,pass
c10,10,30,1.0000,750.9,3483.2,5378.7,9081.3,120,0,0.99,pass
c20,20,40,1.0000,752.2,3435.0,5495.2,9355.5,160,0,0.98,pass
c40,40,80,1.0000,747.8,3355.2,3539.4,8859.4,320,0,0.96,pass
