step,concurrency,calls,setup_success,ttfa_p50_ms,ttfa_p95_ms,ttfa_p99_ms,turn_latency_p95_ms,turns,turns_failed,p95_ratio,verdict
c2,2,6,1.0000,502.7,506.8,508.2,2506.8,30,0,1.00,pass
c8,8,16,1.0000,503.1,509.6,512.3,2509.6,80,0,1.01,pass
