step,concurrency,calls,setup_success,ttfa_p50_ms,ttfa_p95_ms,ttfa_p99_ms,turn_latency_p95_ms,turns,turns_failed,p95_ratio,verdict
smoke,1,2,1.0000,501.3,502.7,502.7,1502.7,10,0,1.00,pass
ramp-c4,4,8,1.0000,501.7,503.5,506.0,1503.5,40,0,1.00,pass
spike-c16,16,32,1.0000,1101.6,1103.7,1106.1,2103.7,160,0,2.19,fail
recover-c4,4,12,1.0000,502.0,503.2,506.2,1503.2,60,0,1.00,pass
ramp-c8,8,16,1.0000,622.0,624.0,629.5,1624.0,80,0,1.24,pass
stress-c16,16,32,1.0000,1102.2,1106.1,1122.8,2106.1,160,0,2.20,fail
soak-c8,8,48,1.0000,621.9,625.1,633.1,1625.1,240,0,1.24,pass
