step,concurrency,calls,setup_success,ttfa_p50_ms,ttfa_p95_ms,ttfa_p99_ms,turn_latency_p95_ms,turns,turns_failed,p95_ratio,verdict
smoke,1,2,1.0000,502.3,505.6,505.6,1505.6,10,0,1.00,pass
ramp-c4,4,8,1.0000,501.8,503.3,505.3,1503.3,40,0,1.00,pass
spike-c16,16,32,1.0000,1101.6,1103.0,1107.5,2103.0,160,0,2.19,fail
recover-c4,4,12,1.0000,502.1,503.0,505.1,1503.0,60,0,1.00,pass
ramp-c8,8,16,1.0000,621.8,623.2,623.9,1623.2,80,0,1.24,pass
stress-c16,16,32,1.0000,1102.3,1108.8,1109.3,2108.8,160,0,2.20,fail
soak-c8,8,48,1.0000,621.7,623.4,629.8,1623.4,240,0,1.24,pass
