step,concurrency,calls,setup_success,ttfa_p50_ms,ttfa_p95_ms,ttfa_p99_ms,turn_latency_p95_ms,turns,turns_failed,p95_ratio,verdict
smoke,1,2,1.0000,502.8,527.3,527.3,1527.3,10,0,1.04,pass
ramp-c4,4,8,1.0000,502.6,507.2,517.5,1507.2,40,0,1.00,pass
spike-c16,16,32,1.0000,1105.8,1196.0,1276.1,2227.1,160,0,2.36,fail
recover-c4,4,12,1.0000,507.1,551.6,625.2,1819.8,60,0,1.09,pass
ramp-c8,8,16,1.0000,622.5,633.4,657.0,1638.8,80,0,1.25,pass
stress-c16,16,32,1.0000,1101.7,1105.7,1134.0,2105.7,160,0,2.18,fail
soak-c8,8,48,1.0000,621.7,626.5,693.7,1637.2,240,0,1.24,pass
