step,concurrency,calls,setup_success,ttfa_p50_ms,ttfa_p95_ms,ttfa_p99_ms,turn_latency_p95_ms,turns,turns_failed,p95_ratio,verdict
baseline,1,2,1.0000,907.0,3153.5,3153.5,6144.4,10,0,1.00,pass
c5,5,5,1.0000,881.2,1580.5,6062.8,5955.1,25,0,0.50,pass
c10,10,10,1.0000,845.2,3114.1,3187.3,5835.6,50,0,0.99,pass
c20,20,20,1.0000,836.6,3159.0,3685.8,5964.8,100,0,1.00,pass
c40,40,40,1.0000,831.2,1293.5,3227.0,5876.9,200,0,0.41,pass
