step,concurrency,calls,setup_success,ttfa_p50_ms,ttfa_p95_ms,ttfa_p99_ms,turn_latency_p95_ms,turns,turns_failed,p95_ratio,verdict
c1,1,1,1.0000,0.0,0.0,0.0,0.0,1,1,0.00,n/a
c2,2,2,0.0000,0.0,0.0,0.0,0.0,0,0,0.00,fail
c3,3,3,0.3333,0.0,0.0,0.0,0.0,1,1,0.00,fail
