step,concurrency,calls,setup_success,ttfa_p50_ms,ttfa_p95_ms,ttfa_p99_ms,turn_latency_p95_ms,turns,turns_failed,p95_ratio,verdict
smoke,1,2,1.0000,402.1,478.3,478.3,2478.8,10,0,1.03,pass
ramp-c4,4,16,1.0000,401.4,464.9,596.6,2574.7,80,0,1.00,pass
stress-c12,12,36,1.0000,553.1,1439.4,1916.2,4001.2,180,0,3.10,fail
spike-c24,24,48,1.0000,853.5,1048.0,1239.7,3443.2,240,0,2.25,fail
soak-c8,8,40,1.0000,451.7,477.5,649.6,2676.1,200,0,1.03,pass
recover-c4,4,16,1.0000,401.6,431.3,511.8,2588.7,80,0,0.93,pass
