step,concurrency,calls,setup_success,ttfa_p50_ms,ttfa_p95_ms,ttfa_p99_ms,turn_latency_p95_ms,turns,turns_failed,p95_ratio,verdict
smoke,1,2,1.0000,502.2,506.8,506.8,1506.8,10,0,0.97,pass
ramp-c4,4,8,1.0000,503.4,520.1,538.1,1520.1,40,0,1.00,pass
spike-c16,16,32,1.0000,1102.6,1117.9,1139.1,2117.9,160,0,2.15,fail
recover-c4,4,12,1.0000,502.9,542.8,559.7,1542.8,60,0,1.04,pass
ramp-c8,8,16,1.0000,622.6,632.5,645.4,1632.5,80,0,1.22,pass
stress-c16,16,32,1.0000,1102.6,1144.6,1265.7,2262.4,160,0,2.20,fail
soak-c8,8,48,1.0000,621.8,625.3,629.7,1625.3,240,0,1.20,pass
