step,concurrency,calls,setup_success,ttfa_p50_ms,ttfa_p95_ms,ttfa_p99_ms,turn_latency_p95_ms,turns,turns_failed,p95_ratio,verdict
baseline,1,10,1.0000,854.8,2405.7,3307.9,5823.7,50,0,1.00,pass
c5,5,10,1.0000,823.7,1149.3,3293.9,5933.6,50,0,0.48,pass
c10,10,20,1.0000,839.0,1239.5,3216.5,5886.6,100,0,0.52,pass
c20,20,40,1.0000,828.3,1154.9,3187.5,5763.4,200,0,0.48,pass
c40,40,80,1.0000,835.0,1350.8,3234.8,6116.7,400,0,0.56,pass
