step,concurrency,calls,setup_success,ttfa_p50_ms,ttfa_p95_ms,ttfa_p99_ms,turn_latency_p95_ms,turns,turns_failed,p95_ratio,verdict
baseline,2,2,1.0000,502.5,503.6,503.6,3503.6,8,0,1.00,pass
c8,8,8,1.0000,503.1,506.1,506.6,3506.1,32,0,1.00,pass
