step,concurrency,calls,setup_success,ttfa_p50_ms,ttfa_p95_ms,ttfa_p99_ms,turn_latency_p95_ms,turns,turns_failed,p95_ratio,verdict
baseline,2,2,1.0000,503.0,504.5,504.5,3504.5,8,0,1.00,pass
c8,8,8,1.0000,505.7,508.9,509.4,3508.9,32,0,1.01,pass
