step,concurrency,calls,setup_success,ttfa_p50_ms,ttfa_p95_ms,ttfa_p99_ms,turn_latency_p95_ms,turns,turns_failed,p95_ratio,verdict
baseline,2,2,1.0000,502.3,505.7,505.7,3505.7,8,0,1.00,pass
c8,8,8,1.0000,507.2,510.7,514.3,3510.7,32,0,1.01,pass
