step,concurrency,calls,setup_success,ttfa_p50_ms,ttfa_p95_ms,ttfa_p99_ms,turn_latency_p95_ms,turns,turns_failed,p95_ratio,verdict
baseline,1,30,1.0000,841.5,1148.0,3205.3,6597.1,150,0,1.00,pass
c5,5,30,1.0000,792.2,1085.8,1654.3,6072.2,150,0,0.95,pass
c10,10,30,1.0000,789.3,1118.5,3181.3,6062.5,150,0,0.97,pass
c20,20,40,1.0000,792.9,1125.2,3231.2,6074.7,200,0,0.98,pass
c40,40,80,1.0000,803.1,1296.4,3173.9,6179.2,400,0,1.13,pass
